name,latitude,longitude,state,artcc,type,updated
TAAAP,34.79040277777778,-115.81979444444444,CALIFORNIA,ZLA,RNAV,12/27/2016
TAANK,34.00236944444445,-117.75182222222222,CALIFORNIA,ZLA,RP,CFN*LD*071.01/33.77
TACUS,37.08777777777778,-116.90333333333334,NEVADA,ZLA,RNAV,09/29/2006
TADLE,34.246522222222225,-116.05292222222222,CALIFORNIA,ZLA,MR,NXP*TACAN*106.00/6.00
TAFTO,35.15756388888889,-119.3253611111111,CALIFORNIA,ZLA,RP,EHF*VORTAC*195.82/22.56
TAINT,41.651383333333335,-83.65067777777779,OHIO,ZLA,RNAV,03/01/2018
TAKOE,34.056463888888885,-117.36457777777777,CALIFORNIA,ZLA,RNAV,07/03/2017
TALKE,34.03058333333333,-117.61121666666666,CALIFORNIA,ZLA,MW,02/15/2012
TALLY,34.41415,-119.78559444444444,CALIFORNIA,ZLA,RP,RZS*VORTAC*173.23
TALPE,33.89939722222222,-117.27402777777777,CALIFORNIA,ZLA,MR,HDF*VOR*315.00
TAMAY,33.10194722222222,-119.28031666666666,CALIFORNIA,ZLA,MR,NSI*TACAN*119.59/12.00
TANDY,33.746575,-118.65807222222223,CALIFORNIA,ZLA,RP,SLI*VORTAC*251.00/30.26
TANGL,33.5075,-117.85916666666667,CALIFORNIA,ZLA,RNAV,12/02/2010
TANLE,34.644869444444446,-120.4610888888889,CALIFORNIA,ZLA,MR,VBG*TACAN*117.00/8.00
TANNN,33.5375,-118.15034166666668,CALIFORNIA,ZLA,RNAV,12/30/2016
TANNR,33.47663888888889,-117.16136944444445,CALIFORNIA,ZLA,RP,OCN*VORTAC*027.28/19.12
TAROC,34.00018333333333,-117.75175,CALIFORNIA,ZLA,RP,LAX*LD*071.01/33.70
TARRK,35.89046111111111,-115.64953333333334,NEVADA,ZLA,RNAV,01/18/2005
TASCO,33.55361111111111,-118.31277777777777,CALIFORNIA,ZLA,RNAV,11/16/2017
TASGE,34.422777777777775,-114.06690555555555,ARIZONA,ZLA,RNAV,12/11/2008
TBERD,33.62894722222222,-116.99775277777778,CALIFORNIA,ZLA,RNAV,01/05/2017
TCATE,32.808074999999995,-116.4833,CALIFORNIA,ZLA,RNAV,01/05/2017
TCUPS,34.07529166666667,-119.78601111111111,CALIFORNIA,ZLA,RNAV,03/01/2017
TEBBY,33.923288888888884,-117.90966944444445,CALIFORNIA,ZLA,MR,ELB*VOR/DME*314.00
TEBGE,32.90623333333333,-116.96544444444444,CALIFORNIA,ZLA,MW,10/28/2014
TEDBE,35.47315555555556,-119.10724166666667,CALIFORNIA,ZLA,RNAV,02/27/2017
TEDEY,33.53756944444444,-117.95411111111112,CALIFORNIA,ZLA,RNAV,12/29/2016
TEDSE,33.62218333333333,-116.15594444444444,CALIFORNIA,ZLA,RP,TRM*VORTAC*136.01/0.41
TEELE,35.057630555555555,-116.36392222222221,CALIFORNIA,ZLA,RP,DAG*VORTAC*046.57/12.00
TEMEC,33.49163333333333,-117.15518333333334,CALIFORNIA,ZLA,MR,OCN*VORTAC*026.20/20.00
TENTS,35.49218888888889,-112.45191666666668,ARIZONA,ZLA,RNAV,08/08/2014
TESEA,35.17191944444444,-120.25635277777778,CALIFORNIA,ZLA,RNAV,01/05/2017
TESRE,34.05492777777778,-117.46187222222223,CALIFORNIA,ZLA,RP,PDZ*VORTAC*007.54
TESST,34.88331111111111,-118.27591111111111,CALIFORNIA,ZLA,MW,06/25/2008
TEVUC,33.67521111111111,-116.36519722222222,CALIFORNIA,ZLA,RNAV,08/10/2006
TEYKI,33.688430555555556,-116.85516388888888,CALIFORNIA,ZLA,RP,SXC*VORTAC*061.12/80.69
TEYON,32.60062222222222,-117.02134444444444,CALIFORNIA,ZLA,RP,MZB*VORTAC*121.40/15.00
THACH,33.970936111111115,-118.54471666666666,CALIFORNIA,ZLA,RNAV,03/20/2017
THERO,34.61966388888889,-117.98430555555555,CALIFORNIA,ZLA,RP,PMD*VORTAC*085.10/4.00
THERS,34.19309444444444,-114.95490277777778,CALIFORNIA,ZLA,RNAV,12/27/2016
THRNE,33.97728611111111,-117.09682222222222,CALIFORNIA,ZLA,RNAV,02/27/2017
TIBSE,33.776488888888885,-114.47114722222223,ARIZONA,ZLA,RNAV,10/28/2011
TIDOY,33.84921666666667,-118.18939444444445,CALIFORNIA,ZLA,RNAV,06/28/2011
